id,parent_area_id,child_area_id
2,222,262
80,81,339
3,222,263
1,222,261
4,222,264
5,222,265
83,67,342
6,222,266
7,222,267
118,13,377
8,222,268
87,67,346
9,222,269
10,222,270
11,222,271
92,67,351
12,222,272
13,222,273
14,222,274
95,67,354
15,222,275
16,222,276
121,13,380
17,222,277
98,160,357
18,222,278
19,222,279
20,222,280
100,160,359
21,222,281
22,222,282
162,107,421
23,222,283
102,160,361
24,222,284
25,222,285
124,13,383
26,222,286
105,160,364
27,222,287
28,222,288
29,222,289
109,160,368
30,222,290
31,222,291
32,222,292
110,160,369
33,222,293
34,222,294
127,107,386
35,222,295
113,160,372
36,222,296
37,222,297
38,222,298
119778,383,117827
39,222,299
239,202,479
40,222,300
131,107,390
41,222,301
42,222,302
165,107,424
43,222,303
134,107,393
44,222,304
45,222,305
135,107,394
209,72,449
140,107,399
168,107,427
143,107,402
145,107,404
147,107,406
171,107,430
149,107,408
150,107,409
153,107,412
175,221,434
156,107,415
159,107,418
212,72,452
179,222,4
182,73,75
185,44,96
119601,11089,119694
189,73,134
193,73,174
242,202,482
198,72,438
119605,115530,119698
201,72,441
204,72,444
207,72,447
119606,3879,119699
254,170,494
119607,102967,119700
245,202,485
229,202,469
232,202,472
236,202,476
267,214,507
248,202,488
257,170,497
249,202,489
251,170,491
260,170,500
263,170,503
271,214,511
278,214,518
274,214,514
275,214,515
281,214,521
2221,176,2455
284,214,524
287,214,527
2230,176,2464
288,214,528
2276,142,2510
2294,142,2528
2297,113,2531
2299,113,2533
2354,229,2588
2411,36,2645
2415,116,2649
46,222,306
81,81,340
85,67,344
119,13,378
88,67,347
91,67,350
93,67,352
122,13,381
96,67,355
99,160,358
163,107,422
103,160,362
125,13,384
106,160,365
111,160,370
114,160,373
128,107,387
119779,4965,118204
291,214,531
130,107,389
166,107,425
132,107,391
137,107,396
210,72,450
141,107,400
169,107,428
144,107,403
151,107,410
154,107,413
172,107,431
157,107,416
160,107,419
173,221,432
213,72,453
176,221,435
118456,80688,118562
326,214,566
180,73,255
119602,686,119695
183,73,87
186,73,256
293,214,533
190,73,152
119608,103817,119701
195,73,77
196,72,436
199,72,439
119625,11891,119718
202,72,442
205,72,445
327,214,567
208,72,448
296,214,536
119630,104,119723
230,202,470
298,214,538
234,202,474
237,202,477
337,214,577
240,202,480
299,214,539
243,202,483
246,202,486
328,214,568
252,170,492
303,214,543
255,170,495
258,170,498
261,170,501
305,214,545
264,170,504
268,214,508
272,214,512
308,214,548
276,214,516
279,214,519
329,214,569
282,214,522
310,214,550
285,214,525
289,214,529
312,214,552
330,214,570
314,214,554
316,214,556
338,214,578
318,214,558
331,214,571
320,214,560
322,214,562
324,214,564
344,214,584
332,214,572
339,214,579
333,214,573
334,214,574
335,214,575
340,214,580
336,214,576
350,203,590
345,214,585
341,214,581
342,214,582
348,203,588
343,214,583
346,214,586
347,203,587
349,203,589
351,203,591
352,203,592
354,203,594
353,203,593
355,203,595
356,203,596
119629,119731,119722
357,203,597
358,203,598
359,203,599
360,203,600
361,203,601
362,203,602
363,203,603
364,203,604
2526,129,2760
365,203,605
366,203,606
2855,204,3089
47,222,307
48,222,308
82,67,341
49,222,309
50,222,310
51,222,311
84,67,343
52,222,172
53,38,312
120,13,379
54,38,313
86,67,345
55,38,314
56,38,315
57,38,316
89,67,348
58,38,317
59,38,318
60,38,319
90,67,349
61,38,320
62,38,321
123,13,382
63,38,322
94,67,353
64,38,323
65,38,324
66,81,325
97,160,356
67,81,326
68,81,327
164,107,423
69,81,328
101,160,360
70,81,329
71,81,330
126,107,385
72,81,331
104,160,363
73,81,332
74,81,333
75,81,334
107,160,366
76,81,335
77,81,336
78,81,337
129,107,388
79,81,338
108,160,367
112,160,371
115,160,374
133,107,392
167,107,426
136,107,395
138,107,397
211,72,451
139,107,398
170,107,429
142,107,401
146,107,405
148,107,407
174,221,433
152,107,411
155,107,414
158,107,417
178,72,250
161,107,420
119603,4162,119696
118457,13141,118563
184,222,88
187,44,125
119609,3928,119702
188,222,159
191,73,76
250,170,490
192,73,197
119610,2353,119703
119611,98438,119704
197,72,437
200,72,440
119612,30569,119705
203,72,443
206,72,446
253,170,493
231,202,471
270,214,510
233,202,473
256,170,496
235,202,475
25108,104294,25347
241,202,481
259,170,499
244,202,484
283,214,523
273,214,513
262,170,502
265,170,505
266,214,506
269,214,509
292,214,532
277,214,517
280,214,520
286,214,526
290,214,530
300,214,540
194,118456,260
247,202,487
294,214,534
295,214,535
297,214,537
301,214,541
302,214,542
304,214,544
306,214,546
307,214,547
309,214,549
311,214,551
313,214,553
315,214,555
317,214,557
319,214,559
321,214,561
2222,176,2456
323,214,563
325,214,565
3204,121,3438
367,203,607
2223,176,2457
2277,142,2511
2527,129,2761
2355,229,2589
2412,116,2646
2580,146,2814
2445,208,2679
2470,208,2704
2491,208,2725
2632,1,2866
2856,234,3090
2633,1,2867
2669,225,2903
2719,102,2953
2918,35,3152
2788,195,3022
2805,161,3039
2850,204,3084
2934,23,3168
3205,121,3439
2977,49,3211
2983,49,3217
3271,136,3505
3032,3,3266
3041,3,3275
3897,2842,4131
3047,3,3281
3273,128,3507
3085,63,3319
3165,48,3399
3633,432,3867
3182,119,3416
3274,128,3508
3184,119,3418
3283,145,3517
3297,147,3531
3638,432,3872
3339,156,3573
4351,2768,4585
3414,192,3648
3907,1794,4141
3477,213,3711
3584,435,3818
3910,1794,4144
4822,496,5056
3731,432,3965
3928,3137,4162
3665,1178,3899
3702,4024,3936
4394,1888,4628
3857,2839,4091
3959,3134,4193
3859,2839,4093
3875,2839,4109
3877,2839,4111
4008,1806,4242
3883,2839,4117
3895,2839,4129
4071,1801,4305
4439,1892,4673
4089,1816,4323
4145,1834,4379
5474,2972,5708
4221,3382,4455
4479,1878,4713
4274,2211,4508
4280,2209,4514
4879,334,5113
4294,2207,4528
4494,3014,4728
4336,2768,4570
4496,3014,4730
4540,3456,4774
4937,465,5171
4547,1613,4781
4574,3025,4808
5933,2966,6167
4627,2847,4861
26368,104301,26608
4684,2775,4918
4760,3759,4994
5479,431,5713
4762,3759,4996
25024,104309,25263
5050,468,5284
5812,503,6046
5111,497,5345
5519,2966,5753
5127,2961,5361
5185,502,5419
5240,493,5474
5573,306,5807
24523,104268,24762
5317,421,5551
5404,498,5638
5639,2980,5873
5697,392,5931
5714,496,5948
5908,2977,6142
5750,2979,5984
5935,2970,6169
5927,2970,6161
5932,2965,6166
5973,496,6207
5971,2968,6205
9289,665,9523
6231,104374,6465
6028,2969,6262
