id,event_id,place_id
1335,1594,8689
2,3,8164
36,38,6602
1651,1943,8592
4,7,1270
1841,2153,829
6,8,1323
7,10,2057
8,11,4231
1666,1964,8825
9,12,5953
1866,2183,9151
68250,78107,23724
11,14,5969
1742,2051,8960
12,15,5970
2203,2495,1767
13,16,5981
1863,2180,2601
14,17,6014
1744,2053,8962
15,18,6013
16,4,8165
17,19,6013
18,20,6229
19,21,6229
195,369,833
1688,1993,8611
21,23,6307
22,24,6331
196,370,833
23,25,6332
24,26,6333
1878,2195,9203
25,27,6334
206,380,1325
26,28,6353
1690,1995,8611
27,29,6424
28,30,6424
1750,2061,3275
29,31,6417
30,32,6417
1691,1996,8611
31,33,6421
224,398,2516
32,34,6421
33,35,6423
1492,1772,8817
34,36,6469
234,408,805
35,37,6554
37,39,6602
38,40,6602
235,409,805
39,41,6602
40,42,6602
1694,2001,8926
41,43,6603
80725,92240,72766
1751,2064,2585
1611,1904,8705
1738,117,8957
51433,59449,2579
51434,59450,796
1679,1981,829
1682,1984,2601
1920,2220,9244
1683,1987,1789
49824,57523,52303
1842,2155,819
2207,2504,1767
1695,2002,7848
1858,2173,8622
1810,2124,4562
1696,2003,3447
1703,2013,7122
1705,2015,7122
1706,2016,829
1718,2028,8953
21717,24541,922
32831,37282,10887
1860,2176,8618
1870,2187,7497
1813,2126,2601
1824,2133,830
1809,223,5925
1862,641,3275
1840,2152,3901
1843,2156,2593
1844,2157,9078
1876,1986,6736
1849,2162,9084
1877,2194,4976
1879,2197,9210
1882,2200,9215
1960,237,5925
1921,2223,9254
1864,2181,864
51436,59456,38173
2210,2512,9903
2209,2508,2399
28116,31920,32239
2208,2505,8486
1874,2192,776
1961,235,5925
1962,234,5925
1963,233,5925
1964,232,5925
1965,230,5925
1966,229,5925
1967,228,5925
42,44,6603
43,45,6603
51445,59466,20220
44,46,6603
1344,1610,8701
46,48,6603
47,49,6604
174,348,824
48,50,6601
1825,2137,2222
49,51,6601
50,52,6601
51,53,6601
52,54,6601
53,55,7029
54,56,7029
55,57,7122
1570,1860,7820
56,58,7122
197,371,833
57,59,7122
58,60,7122
70,73,7122
200,374,843
72,75,7122
1653,1945,8561
1420,1698,3259
1586,1879,8850
209,383,845
77,81,7384
1612,1905,8564
78,82,7384
80,84,7384
1618,1911,8573
82,86,7384
84,88,7384
86,91,7384
88,93,7384
90,95,7650
93,98,7695
225,399,1328
95,100,8029
97,102,8029
1739,78,8957
98,103,8029
56370,64995,10292
101,106,8029
236,410,817
103,108,8029
105,110,8124
107,112,5566
109,114,8124
112,119,8167
1530,1814,8825
249,423,1457
1873,2190,9154
1553,1843,8825
1707,2017,8838
1680,1982,829
1587,1881,8825
1719,2029,8713
1336,1595,837
1968,227,5925
1350,1616,8705
1351,1617,8706
1375,1641,8715
1743,2052,8961
1415,1689,8741
1745,2054,8963
1685,1989,776
1689,1994,8897
1692,1997,8825
1422,1700,831
1454,1732,6022
1455,1734,8798
28117,31921,14098
1501,1782,8821
1525,1806,829
1529,1813,2194
1850,2163,1047
1554,1844,830
1560,1850,829
1561,1851,829
1563,1853,8838
2248,2552,1767
1697,2004,2709
51435,59451,796
1704,2014,7122
21718,24542,922
1865,2182,9147
1752,2062,8977
51437,59457,38173
1811,2125,2601
1814,2128,2601
1880,2198,9209
1883,2201,9216
1741,205,5925
1867,2184,9152
1871,2188,1552
51446,59469,13825
2390,2691,1767
1969,225,5925
1970,224,5925
1971,217,5925
1972,208,5925
1973,197,5925
1974,176,5925
59,61,7122
60,62,7122
61,63,7122
1654,1946,8550
62,64,7122
63,65,7122
64,67,7122
65,68,7122
66,69,7122
67,70,7122
68,71,7122
1668,1967,1165
69,72,7122
190,364,790
1875,2193,7552
71,74,7122
73,76,7188
76,80,7384
1546,1836,825
1776,2088,825
198,372,844
79,83,7384
81,85,7384
83,87,7384
207,381,997
85,90,7384
87,92,7384
1421,1699,2602
89,94,7638
210,384,850
91,96,7695
92,97,7695
94,99,7695
40643,47257,46761
96,101,8029
100,105,8029
102,107,8029
221,395,2197
104,109,8029
106,111,8124
56371,64996,13687
110,115,8124
111,116,8124
1681,1983,807
113,118,8124
114,89,8168
233,407,2564
1686,1990,3462
1531,1815,8826
28118,31922,14524
238,412,2768
1815,2129,2601
119,126,6022
120,127,6022
121,128,6053
250,424,1588
26187,29635,18910
1812,306,2601
60695,69663,27954
1820,202,2601
1345,1611,8702
1352,1618,8561
1376,1642,8716
1826,2138,829
1416,1690,8742
1693,1998,8825
1423,1701,8771
1456,1735,1442
40768,47407,19981
1526,1561,8643
2249,2553,1767
1547,1837,818
1555,1845,830
1562,1852,807
1564,1854,8564
1846,2159,2139
1571,1832,7820
1588,1880,8851
1613,1906,8772
51438,59458,38173
51447,59470,7553
1708,2018,8943
1720,2030,8850
1746,2055,8964
51448,59488,1770
1753,2063,1122
1762,2074,8990
1884,2202,9218
1982,262,5925
1923,2224,9254
1868,2185,2719
2391,2692,1767
2442,2745,1767
2505,2809,1767
1881,2199,9210
1975,184,5925
1976,260,5925
1977,239,5925
1978,139,5925
1979,226,5925
1980,238,5925
1981,244,5925
1983,277,5925
2508,2812,1767
2555,2860,1767
2596,2901,1767
2212,2515,9914
3351,3947,11296
122,129,6252
123,130,6328
124,131,6758
126,133,6874
