id,mbid,name,type
94,476798b7-12ae-4237-9e2f-e2d4d6fab5f2,Panorama,2
170,303ba27e-da80-4c3c-ae3e-3b3689c50174,Klassiset säveltäjät,2
124,c172256d-ffc6-4b5d-acc8-334d7107e9e6,Techno & Dance,1
186,7a0f5541-7734-4ef2-a545-1d58f07eb4f5,Best of Pagan Folk,1
2334,5ac7370c-3e8f-41f5-ac8f-11bfd8ca32be,Glastonbury Festival,8
128,cee7fb52-aaf2-4f17-b090-9c31bd91227c,Suomi-rock,1
215,a3599acc-9a42-4848-9088-45f847ebfba5,Goth Is What You Make It,1
29,035eb2cb-33ab-463f-ac98-e9c1c1c76f1d,The Sibelius Edition,2
2582,15860893-5b40-4965-8c64-e8aa72e97d74,The Hours… Tour,7
3238,e4ac76d6-712b-4ef5-b84a-9c37e63e05d3,Post Marked Stamps,1
17,89330025-9089-40d8-9e9b-fa6b1c678d5b,En sang om is og ild,1
3239,367c95d2-1d40-4044-9a87-c67b1f3159f3,Stern Grove Festival,8
131,74116370-49e8-4602-89cf-0328c9d88fce,FLCL,1
107,e03cd77b-2cc6-4e89-bede-0fe25efb4ac6,BLEACH,1
109,f13fdc67-4e89-4ea7-bdc5-ec678249c546,Paranoia Agent,1
2581,c7b39e52-d6ea-400d-89cf-3a071e35c3b6,Sonda,1
103,c48ac448-3616-4ac9-ac67-02be4e4d8bfb,Final Fantasy games,4
133,c877fe4e-5611-4f1d-9503-0fb377e8e538,Suomipoppia,1
113,cb14bf73-c295-4867-ae09-577ad766f7b8,Finnhits,1
115,6829921a-e0c0-4238-bd3e-6c27576de0b4,Lauluja rakastamisen vaikeudesta,1
176,4fd4c29f-a72c-43d2-ac13-d975c5738c76,Collections,2
151,d1c724d7-eef1-4bf7-9103-82e3f05ea3c4,Sibelius Academy Folk Music Recordings,2
121,e562e1fe-5c40-4fea-aeb7-b1e6c5761340,Parhaat,1
1,d271a712-90a9-43fb-9470-3151ebb9389a,The World Roots Music Library,2
12127,7ddce4b9-6680-45db-b59d-23451cc91a8c,Beethoven’s World,1
136,ec26443b-936a-4fb3-b33c-b40702804984,Latauslista,1
2361,3f20c73a-d7a5-4222-9df2-6ce807dfd9b8,Taubertal-Festival,8
155,3d5e429f-fabb-4a83-9ea2-5c7e5468eed8,Finnhits Suomi-legendat,1
142,68115478-f0d8-45a6-bf19-6225945a8231,Iskelmä Suomi,1
158,0acd41c4-60b7-4eb7-8a37-22ccdec94190,Iskelmä Gaala,1
8162,760c9721-3f53-4983-ba7f-fa8a2c164389,Acousmatrix,1
145,f9f20b56-ea58-4407-b8b4-006c3d4c6d99,Unohtumattomat,1
160,7bc6d635-0c99-42e1-94ea-58d0acace421,Tähtitaivas,1
147,76da404f-dfa1-4247-b406-e322ec57c600,おジャ魔女CDくらぶ,1
199,6c2c60ef-26ea-4301-b693-c213829c4ec1,Rapmasters,1
178,9f258dc7-8273-4ecd-ba53-a5facf1e2efc,MAHO堂CDコレクション,1
172,8589e6e5-7cb0-4ce9-bf1a-e8ff1086454e,涼宮ハルヒの憂鬱 新キャラクターソング,1
53,3912d614-6378-4cf1-810e-3c3c30477d3f,Händel-Werke-Verzeichnis,5
191,5655bc51-51ba-4bfe-a093-854d84b3f7aa,Die ultimative 80'er Fete,1
162,3048a8dc-49df-4b06-93cf-a090033018b7,Hittiparaati,1
7566,16bdacca-00b4-496c-9452-30015cd33fe7,New Series Framework,1
164,2ad2ddfb-b243-4591-b4b4-94ad3cc676a7,Tanssisuosikit,1
166,0ddc8ead-a24c-4971-9ba1-2d7c64b2dcb0,Täydet 100: Sata ikimuistoista kappaletta,1
168,f11a92db-cbe4-46b8-a791-ffd7ca9d0b1e,NRJ Hits,1
57,7adf110f-01a2-431a-ad8f-ce806cf950a4,Thematic and Bibliographical Catalogue of P. I. Čajkovskij's Works,5
117,204363b2-4ee9-4e39-94f3-4a04047c2cba,Suomirokkia,1
184,33870419-68d9-4ff9-bdbf-08b093e9498c,Immortal,1
193,10475f90-d7f0-457f-86fb-a7e6ad18ac14,Berceau de l’Amérique,1
3,c8fc6f9e-faa6-4eca-bf13-92b1c3f5c5c4,World Music Library,2
209,171cd0eb-e80f-4307-832c-8014a3a30057,Extreme Störfrequenz,1
43,c2529feb-2e34-43f5-a558-aba8ae6a5f74,Back in Time,1
21,2b529732-7af6-4c43-8421-be0f537befe5,Progstravaganza,1
195,5434632b-4d3a-4ddb-b1e9-0e544b8f03d4,WBOS: Live From the Archives,1
216,a7572be4-a816-4b41-96ec-ec6f0017204c,Zwischenfall,1
197,53d24813-c131-4279-83aa-7b4b80c6b5b1,Die ultimative Chart Show,1
213,e538cac1-2edd-4f8c-ab9b-5bb88826fefa,Darkness Before Dawn,1
204,5a971acb-25ee-4656-b1f7-89a6c8d84403,Grand Prix,2
207,885637fc-7866-4469-be44-0fc7da6f6d5a,Extreme Lustlieder,1
211,d8c60699-83bf-422c-b1e1-027adb102125,Extreme Clubhits,1
2585,8dbf520a-5e46-4792-be00-a37f0b6c77b5,Everlasting Summer,1
20597,555a59d6-ce87-4e7e-9824-9192cab6bb8a,"RuPaul’s Drag Race, Season 12",1
218,fca6246a-cad0-49da-9568-a1c18880f1f2,The Romantic Violin Concerto,2
217,179d751d-a626-4b77-b46d-e718ff4a55b0,Aderlass,1
20,cca669ca-ff26-4691-a7b7-879474b405f2,Ethnic Sound Collection,2
149,682e8ea1-0264-4235-886a-cfa2e3f868cb,Kultaiset rock-klassikot,2
96,0790fa51-15d9-40a2-bca9-9c8eaaa96bef,Buxtehude-Werke-Verzeichnis,5
224,4410ce68-99e3-4dc7-b44a-2a156465f432,The Very Best of the 80's,1
111,bb96de5e-2d32-4f22-af8a-2fb1ac83030e,GUNGRAVE,1
223,a9d53de4-dfff-4140-a70a-6ce9578f6e21,Ministry of Sound: Sessions,1
2,1372f6a8-09ec-4773-ad9d-e2f3e4e64674,プッチベスト,1
6,03621260-b4dd-419a-add5-a55090fb0a0e,World Music Library,2
